time,out[3],out[2],out[1],out[0]
5,z,z,z,1
15,z,z,z,1
25,z,z,z,1
35,z,z,z,1
45,z,z,z,1
55,z,z,z,1
65,z,z,z,1
75,z,z,z,1
85,z,z,z,1
95,z,z,z,1
105,z,z,z,0
115,z,z,z,0
125,z,z,z,0
135,z,z,z,0
145,z,z,z,0
155,z,z,z,0
165,z,z,z,0
175,z,z,z,0
185,z,z,z,0
195,z,z,z,0
205,z,z,z,0
215,z,z,z,0
225,z,z,z,0
235,z,z,z,0
245,z,z,z,0
255,z,z,z,0
265,z,z,z,0
275,z,z,z,0
285,z,z,z,0
295,z,z,z,0
305,z,z,z,0
315,z,z,z,0
325,z,z,z,0
335,z,z,z,0
345,z,z,z,0
355,z,z,z,0
365,z,z,z,0
375,z,z,z,0
385,z,z,z,0
395,z,z,z,0
405,z,z,z,0
415,z,z,z,0
425,z,z,z,0
435,z,z,z,0
445,z,z,z,0
455,z,z,z,0
465,z,z,z,0
475,z,z,z,0
485,z,z,z,0
495,z,z,z,0
505,z,z,z,0
515,z,z,z,0
525,z,z,z,0
535,z,z,z,0
545,z,z,z,0
555,z,z,z,0
565,z,z,z,0
575,z,z,z,0
585,z,z,z,0
595,z,z,z,0
605,z,z,z,0
615,z,z,z,0
625,z,z,z,0
635,z,z,z,0
645,z,z,z,0
655,z,z,z,0
665,z,z,z,0
675,z,z,z,0
685,z,z,z,0
695,z,z,z,0
705,z,z,z,1
715,z,z,z,1
725,z,z,z,1
735,z,z,z,1
745,z,z,z,1
755,z,z,z,1
765,z,z,z,1
775,z,z,z,1
785,z,z,z,1
795,z,z,z,1
805,z,z,z,1
815,z,z,z,1
825,z,z,z,1
835,z,z,z,1
845,z,z,z,1
855,z,z,z,1
865,z,z,z,1
875,z,z,z,1
885,z,z,z,1
895,z,z,z,1
905,z,z,z,1
915,z,z,z,1
925,z,z,z,1
935,z,z,z,1
945,z,z,z,1
955,z,z,z,1
965,z,z,z,1
975,z,z,z,1
985,z,z,z,1
995,z,z,z,1
1005,z,z,z,1
1015,z,z,z,1
1025,z,z,z,1
1035,z,z,z,1
1045,z,z,z,1
1055,z,z,z,1
1065,z,z,z,1
1075,z,z,z,1
1085,z,z,z,1
1095,z,z,z,1
1105,z,z,z,1
1115,z,z,z,1
1125,z,z,z,1
1135,z,z,z,1
1145,z,z,z,1
1155,z,z,z,1
1165,z,z,z,1
1175,z,z,z,1
1185,z,z,z,1
1195,z,z,z,1
1205,z,z,z,1
1215,z,z,z,1
1225,z,z,z,1
1235,z,z,z,1
1245,z,z,z,1
1255,z,z,z,1
1265,z,z,z,1
1275,z,z,z,1
1285,z,z,z,1
1295,z,z,z,1
1305,z,z,z,1
1315,z,z,z,1
1325,z,z,z,1
1335,z,z,z,1
1345,z,z,z,1
1355,z,z,z,1
1365,z,z,z,1
1375,z,z,z,1
1385,z,z,z,1
1395,z,z,z,1
1405,z,z,z,1
1415,z,z,z,1
1425,z,z,z,1
1435,z,z,z,1
1445,z,z,z,1
1455,z,z,z,1
1465,z,z,z,1
1475,z,z,z,1
1485,z,z,z,1
1495,z,z,z,1
