time,out[3],out[2],out[1],out[0]
5,0,0,0,1
15,0,0,0,1
25,0,0,0,1
35,0,0,0,1
45,0,0,0,1
55,0,0,0,1
65,0,0,0,1
75,0,0,0,1
85,0,0,0,1
95,0,0,0,1
105,0,0,0,1
115,0,0,0,1
125,0,0,0,1
135,0,0,0,1
145,0,0,0,1
155,0,0,0,1
165,0,0,0,1
175,0,0,0,1
185,0,0,0,1
195,0,0,0,1
205,0,0,0,1
215,0,0,0,1
225,0,0,0,1
235,0,0,0,1
245,0,0,0,1
255,0,0,0,1
265,0,0,0,1
275,0,0,0,1
285,0,0,0,1
295,0,0,0,1
305,0,0,0,1
315,0,0,0,1
325,0,0,0,1
335,0,0,0,1
345,0,0,0,1
355,0,0,0,1
365,0,0,0,1
375,0,0,0,1
385,0,0,0,1
395,0,0,0,1
405,1,0,0,0
415,1,0,0,0
425,1,0,0,0
435,1,0,0,0
445,1,0,0,0
455,1,0,0,0
465,1,0,0,0
475,1,0,0,0
485,1,0,0,0
495,1,0,0,0
505,1,0,0,0
515,1,0,0,0
525,1,0,0,0
535,1,0,0,0
545,1,0,0,0
555,1,0,0,0
565,1,0,0,0
575,1,0,0,0
585,1,0,0,0
595,1,0,0,0
605,1,0,0,0
615,1,0,0,0
625,1,0,0,0
635,1,0,0,0
645,1,0,0,0
655,1,0,0,0
665,1,0,0,0
675,1,0,0,0
685,1,0,0,0
695,1,0,0,0
705,1,0,0,0
715,1,0,0,0
725,1,0,0,0
735,1,0,0,0
745,1,0,0,0
755,1,0,0,0
765,1,0,0,0
775,1,0,0,0
785,1,0,0,0
795,1,0,0,0
805,1,0,0,0
815,1,0,0,0
825,1,0,0,0
835,1,0,0,0
845,1,0,0,0
855,1,0,0,0
865,1,0,0,0
875,1,0,0,0
885,1,0,0,0
895,1,0,0,0
905,1,0,0,0
915,1,0,0,0
925,1,0,0,0
935,1,0,0,0
945,1,0,0,0
955,1,0,0,0
965,1,0,0,0
975,1,0,0,0
985,1,0,0,0
995,1,0,0,0
1005,1,0,0,0
1015,1,0,0,0
1025,1,0,0,0
1035,1,0,0,0
1045,1,0,0,0
1055,1,0,0,0
1065,1,0,0,0
1075,1,0,0,0
1085,1,0,0,0
1095,1,0,0,0
1105,1,0,0,0
1115,1,0,0,0
1125,1,0,0,0
1135,1,0,0,0
1145,1,0,0,0
1155,1,0,0,0
1165,1,0,0,0
1175,1,0,0,0
1185,1,0,0,0
1195,1,0,0,0
1205,1,0,0,0
1215,1,0,0,0
1225,1,0,0,0
1235,1,0,0,0
1245,1,0,0,0
1255,1,0,0,0
1265,1,0,0,0
1275,1,0,0,0
1285,1,0,0,0
1295,1,0,0,0
1305,1,0,0,0
1315,1,0,0,0
1325,1,0,0,0
1335,1,0,0,0
1345,1,0,0,0
1355,1,0,0,0
1365,1,0,0,0
1375,1,0,0,0
1385,1,0,0,0
1395,1,0,0,0
1405,1,0,0,0
1415,1,0,0,0
1425,1,0,0,0
1435,1,0,0,0
1445,1,0,0,0
1455,1,0,0,0
1465,1,0,0,0
1475,1,0,0,0
1485,1,0,0,0
1495,1,0,0,0
